"Address","Style","Status","TFA SF","TBeds","TBaths","List Price","Sold Price","Sold Date","YrBlt","DOM","Lot Sq Metres"
"1205 WATT Drive","ST2","X","1,447.97","4","3.1","$500,000",,,"2018","97","335.75"
"1822 104 Street","ST2","T","3,327.04","5","2.1","$500,000",,,"1985","44","647.64"
"20812 55 Avenue","ST2","X","1,861.85","4","3.1","$509,900",,,"2007","121",
"9907 222 Street","ST2","X","1,700.71","3","2.1","$514,800",,,"2023","97","316.36"
"21863 80 Avenue","ST2","X","2,001.24","3","2.1","$519,800",,,"2013","90",
"20604 92 Avenue","ST2","X","1,971.21","5","3.1","$519,900",,,"2007","99","455.00"
"17860 9 Avenue","ST2","X","1,756.68","3","2.1","$520,000",,,"2017","98","253.53"
"1052 105 Street","SPLT4","T","1,965.72","4","2.1","$520,000",,,"1985","64","507.36"
"5381 SCHONSEE Drive","ST2","T","1,852.48","3","2.1","$524,900",,,"2014","70","405.38"
"19015 86A Avenue","ST2","X","1,668.42","5","3.1","$525,000",,,"1982","94","425.80"
"9920 223 Street","ST2","X","1,908.03","4","2.1","$525,000",,,"2023","90","287.48"
"9916 223 Street","ST2","X","1,908.03","4","2.1","$525,000",,,"2023","90","287.48"
"8520 71 Avenue","BUNG","X","1,201.37","4","2.0","$525,000",,,"1955","196","718.38"
"2095 Maple Rd NW","ST2","T","1,469.72","4","2.1","$525,000",,,"2022","18",
"9221 152 Street","ST2","T","1,675.09","3","2.1","$529,000",,,"2015","48","343.91"
"11012 126 Street","ST2","T","1,147.98","3","1.0","$529,000",,,"1912","27","345.95"
"296 GRIESBACH Road","ST2","T","1,827.73","4","3.1","$529,900",,,"2015","21","374.70"
"231 Cairns Place","BLEVL","X","1,944.62","5","3.0","$529,900",,,"2002","126","556.08"
"10457 147 Street","ST2","X","1,588.98","3","2.1","$529,900",,,"2022","93",
"10459 147 Street","ST2","X","1,588.98","3","2.1","$529,900",,,"2022","93",
"7308 86 Avenue","BUNG","T","1,420.85","5","2.1","$529,900",,,"1962","29","616.70"
"279 DECHENE Road","ST2","X","2,289.50","4","3.1","$534,900",,,"1986","101",
"9456 216 Street","ST2","T","1,995.65","3","3.1","$538,000",,,"2006","41","495.84"
"9901 160 Street NW","BLEVL","X","1,671.97","5","3.0","$539,000",,,"2008","66",
"17351 7A Avenue","ST2","T","1,566.16","4","3.1","$539,900",,,"2010","27","425.66"
"8516 147 Street","BUNG","X","1,095.67","5","2.0","$539,900",,,"1956","120","501.54"
"17351 7A Avenue","ST2","T","1,566.16","4","3.1","$539,900",,,"2010","6",
"2608 ANDERSON Crescent","ST2","X","1,951.73","3","2.1","$544,800",,,"2010","90","412.60"
"9452 PEAR Crescent","ST2","T","1,846.03","3","2.1","$549,000",,,"2022","123","288.99"
"6351 GREENAWAY Avenue","ST2","T","1,769.49","3","2.1","$549,888",,,"2022","202","337.82"
"9813 70 Avenue","ST2","X","1,404.70","4","3.1","$549,900",,,"2022","121",
"18236 94 Street","ST2","X","1,984.99","3","2.1","$549,900",,,"2022","87","427.53"
"7916 43A Avenue","ST2","T","1,825.57","3","2.1","$559,900",,,"1974","32",
"2848 41A Avenue","BLEVL","X","1,850.01","7","3.0","$565,000",,,"2002","152","410.00"
"8153 81 Avenue NW","ST2","X","1,409.01","3","2.1","$565,000",,,"2022","133","254.00"
